course_name,course_code,section,Fall-2024,registration_dates,level,credit,campus,schedule_type,instructional_method,type,time,days,location,date_range,lecture_type,instructors
Global History and Culture 2,82120,HIST 10200,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Seminar Schedule Type,Online Instructional Method,Online,2:00 pm - 2:50 pm,MWF,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Seminar,Melanie   Bemben (P)
Global History and Culture 2,82123,HIST 10200,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Seminar Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Seminar,Melanie   Bemben (P)
Global History and Culture 2,82317,HIST 10200,Fall-2024,"Apr 08, 2024 to Oct 21, 2024",Undergraduate,3,Online Campus,Seminar Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Oct 21, 2024 - Dec 14, 2024",Seminar,Jonathan Claymore  McCollum (P)
Historiography 1: Sophomore Writing Seminar,80963,HIST 20300,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 11:50 am,MWF,St Charles Borromeo SB 141,"Aug 26, 2024 - Dec 14, 2024",Lecture,Mark R  Schultz (P)
History of Illinois,80968,HIST 23600,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,12:30 pm - 1:45 pm,TR,St Charles Borromeo SB 145,"Aug 26, 2024 - Dec 14, 2024",Lecture,Dennis H  Cremin (P)
We Hold These Truths: A Civic History of the United States,81007,HIST 25000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Class/Lecture,10:00 am - 10:50 am,MW,Pope John Paul II Hall JP 009,"Aug 26, 2024 - Dec 14, 2024",Lecture,John   Vietoris (P)
We Hold These Truths: A Civic History of the United States,81007,HIST 25000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Online,10:00 am - 10:50 am,F,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,John   Vietoris (P)
We Hold These Truths: A Civic History of the United States,82318,HIST 25000,Fall-2024,"Apr 08, 2024 to Oct 21, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Oct 21, 2024 - Dec 14, 2024",Lecture,Dennis H  Cremin (P)
United States Colonial and Early National History,82258,HIST 32000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,1:00 pm - 1:50 pm,MWF,St Charles Borromeo SB 142,"Aug 26, 2024 - Dec 14, 2024",Lecture,Mark R  Schultz (P)
History of the Modern Middle East,81012,HIST 35500,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,12:30 pm - 1:45 pm,TR,St Charles Borromeo SB 144,"Aug 26, 2024 - Dec 14, 2024",Lecture,James   Tallon (P)
Modern Europe (1815-Present),82257,HIST 37200,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,9:30 am - 10:45 am,TR,Academic Science Center AS 108S,"Aug 26, 2024 - Dec 14, 2024",Lecture,John   Vietoris (P)
Wksp: Cultural Geography,81015,HIST 39701,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Blended Instructional Method,Online,TBA,,TBA,"Sep 09, 2024 - Sep 28, 2024",Workshop,Peter   Hannon (P)
Wksp: Cultural Geography,81015,HIST 39701,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Blended Instructional Method,Class/Lecture,9:00 am - 5:00 pm,S,TBA,"Sep 28, 2024 - Sep 28, 2024",Workshop,Peter   Hannon (P)
Wksp: Public History,82266,HIST 39706,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Traditional Instructional Method,Class/Lecture,6:00 pm - 9:00 pm,F,Academic Science Center AS 150A,"Sep 20, 2024 - Sep 20, 2024",Workshop,Dennis H  Cremin (P)
Wksp: Public History,82266,HIST 39706,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Traditional Instructional Method,Class/Lecture,9:00 am - 4:00 pm,S,Academic Science Center AS 150A,"Sep 21, 2024 - Sep 21, 2024",Workshop,Dennis H  Cremin (P)
Workshop: Witchcraft Hysteria 15th to 17th Century,81757,HIST 39707,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Traditional Instructional Method,Class/Lecture,6:00 pm - 9:00 pm,F,St Charles Borromeo SB 144,"Oct 25, 2024 - Oct 25, 2024",Workshop,Frederic M  Kopp (P)
Workshop: Witchcraft Hysteria 15th to 17th Century,81757,HIST 39707,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Traditional Instructional Method,Class/Lecture,9:00 am - 5:00 pm,S,St Charles Borromeo SB 144,"Oct 26, 2024 - Oct 26, 2024",Workshop,Frederic M  Kopp (P)
"Wksp: History of North Africa: Romans, Religious Revivalism, and Revolution",81087,HIST 39708,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Traditional Instructional Method,Class/Lecture,5:00 pm - 9:00 pm,F,Academic Science Center AS 108S,"Nov 08, 2024 - Nov 08, 2024",Workshop,James   Tallon (P)
"Wksp: History of North Africa: Romans, Religious Revivalism, and Revolution",81087,HIST 39708,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Traditional Instructional Method,Class/Lecture,9:00 am - 4:00 pm,S,Academic Science Center AS 108S,"Nov 09, 2024 - Nov 09, 2024",Workshop,TBA
Internship for History Majors,82023,HIST 39800,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,1,Romeoville Campus,Experiential Schedule Type,Blended Instructional Method,Arranged,TBA,,Arranged by Instructor/Dept,"Aug 26, 2024 - Dec 14, 2024",Experiential,Dennis H  Cremin (P)
Internship for History Majors,82023,HIST 39800,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,1,Romeoville Campus,Experiential Schedule Type,Blended Instructional Method,Online,TBA,,TBA,"Aug 26, 2024 - Dec 14, 2024",Experiential,Dennis H  Cremin (P)
Historiography 2: Senior Research Seminar,81096,HIST 40300,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 12:15 pm,TR,St Charles Borromeo SB 146,"Aug 26, 2024 - Dec 14, 2024",Lecture,James   Tallon (P)
Wksp: Presentations Software: Excel,80944,INSY 19405,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Online Campus,Workshop Schedule Type,Online Instructional Method,Online,6:00 pm - 9:00 pm,F,Online Meeting,"Nov 08, 2024 - Nov 08, 2024",Workshop,Melissa M  Eichelberger (P)
Wksp: Presentations Software: Excel,80944,INSY 19405,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Online Campus,Workshop Schedule Type,Online Instructional Method,Online,9:00 am - 5:00 pm,S,Online Meeting,"Nov 09, 2024 - Nov 09, 2024",Workshop,Melissa M  Eichelberger (P)
Legal and Ethical Issues in Computing,80945,INSY 23000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Class/Lecture,9:00 am - 9:50 am,MW,Academic Science Center AS 106A,"Aug 26, 2024 - Dec 14, 2024",Lecture,Mathias Robert  Plass (P)
Legal and Ethical Issues in Computing,80945,INSY 23000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Online,9:00 am - 9:50 am,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Mathias Robert  Plass (P)
Legal and Ethical Issues in Computing,80946,INSY 23000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Mark   Hatchel (P)
Security Assessment and Risk Management,80947,INSY 35100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Class/Lecture,1:00 pm - 1:50 pm,MW,Academic Science Center AS 101S,"Aug 26, 2024 - Dec 14, 2024",Lecture,Mathias Robert  Plass (P)
Security Assessment and Risk Management,80947,INSY 35100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Online,1:00 pm - 1:50 pm,F,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Mathias Robert  Plass (P)
Security Assessment and Risk Management,82181,INSY 35100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Sean M  Sullivan (P)
Cybercrime Prevention Tools,80951,INSY 46000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,6:00 pm - 9:00 pm,W,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Matthew James  Clavelli (P)
Legal and Ethical Issues in Information Security,80953,INSY 53000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Graduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Class/Lecture,6:00 pm - 8:05 pm,M,Academic Science Center AS 108S,"Aug 26, 2024 - Oct 19, 2024",Lecture,Mathias Robert  Plass (P)
Legal and Ethical Issues in Information Security,80953,INSY 53000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Graduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Online,TBA,,TBA,"Aug 26, 2024 - Oct 19, 2024",Lecture,Mathias Robert  Plass (P)
Legal and Ethical Issues in Information Security,82002,INSY 53000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Graduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Oct 19, 2024",Lecture,Mathias Robert  Plass (P)
Disaster Recovery and Business Continuity Planning,80955,INSY 55600,Fall-2024,"Apr 08, 2024 to Oct 21, 2024",Graduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Class/Lecture,6:00 pm - 8:05 pm,M,Academic Science Center AS 104A,"Oct 21, 2024 - Dec 14, 2024",Lecture,Mathias Robert  Plass (P)
Disaster Recovery and Business Continuity Planning,80955,INSY 55600,Fall-2024,"Apr 08, 2024 to Oct 21, 2024",Graduate,3,Romeoville Campus,Lecture Schedule Type,Blended Instructional Method,Online,TBA,,TBA,"Oct 21, 2024 - Dec 14, 2024",Lecture,Mathias Robert  Plass (P)
Disaster Recovery and Business Continuity Planning,80931,INSY 55600,Fall-2024,"Apr 08, 2024 to Oct 21, 2024",Graduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Oct 21, 2024 - Dec 14, 2024",Lecture,Mathias Robert  Plass (P)
Principles of Marketing,81679,MKTG 20000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 12:15 pm,TR,St Charles Borromeo SB,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Principles of Marketing,81680,MKTG 20000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,9:30 am - 10:45 am,TR,St Charles Borromeo SB,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Principles of Marketing,81681,MKTG 20000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,9:30 am - 10:45 am,MW,St Charles Borromeo SB,"Aug 26, 2024 - Dec 14, 2024",Lecture,Shan   Lin (P)
Principles of Marketing,81634,MKTG 20000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Oct 19, 2024",Lecture,Shan   Lin (P)
Consumer Behavior,81678,MKTG 30000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,8:00 am - 9:15 am,MW,St Charles Borromeo SB 157,"Aug 26, 2024 - Dec 14, 2024",Lecture,Robert   Bergman (P)
Introduction to Digital Marketing,81764,MKTG 30500,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Shan   Lin (P)
Salesmanship,81677,MKTG 37400,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,9:30 am - 10:45 am,MW,St Charles Borromeo SB 157,"Aug 26, 2024 - Dec 14, 2024",Lecture,Robert   Bergman (P)
Design Thinking,81676,MKTG 38900,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 12:15 pm,TR,St Charles Borromeo SB 157,"Aug 26, 2024 - Dec 14, 2024",Lecture,James L  Oakley (P)
Wksp: Win/Win Negotiation,81432,MKTG 39200,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Traditional Instructional Method,Class/Lecture,6:00 pm - 9:00 pm,F,St Charles Borromeo SB 154,"Oct 18, 2024 - Oct 18, 2024",Workshop,Robert   Bergman (P)
Wksp: Win/Win Negotiation,81432,MKTG 39200,Fall-2024,"Apr 08, 2024 to Dec 14, 2024",Undergraduate,1,Romeoville Campus,Workshop Schedule Type,Traditional Instructional Method,Class/Lecture,8:30 am - 5:00 pm,S,St Charles Borromeo SB 154,"Oct 19, 2024 - Oct 19, 2024",Workshop,Robert   Bergman (P)
Public Relations,81675,MKTG 40200,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,1:00 pm - 2:15 pm,MW,St Charles Borromeo SB 157,"Aug 26, 2024 - Dec 14, 2024",Lecture,Robert   Bergman (P)
Marketing Research,81763,MKTG 46500,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Shan   Lin (P)
Marketing Strategy,81674,MKTG 47000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,9:30 am - 10:45 am,TR,St Charles Borromeo SB 157,"Aug 26, 2024 - Dec 14, 2024",Lecture,James L  Oakley (P)
Digital Marketing Strategies,81430,MKTG 60400,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Graduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Oct 19, 2024",Lecture,Dawn   Schneider (P)
Digital Marketing Analytics,81431,MKTG 60500,Fall-2024,"Apr 08, 2024 to Oct 21, 2024",Graduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Oct 21, 2024 - Dec 14, 2024",Lecture,Dawn   Schneider (P)
Introduction to Mathematical Thinking,80002,MATH 11500,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,8:00 am - 8:50 am,MWF,Academic Science Center AS 018S,"Aug 26, 2024 - Dec 14, 2024",Lecture,Stephen S  Welsch (P)
Introduction to Mathematical Thinking,80256,MATH 11500,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 11:50 am,MWF,Academic Science Center AS 018S,"Aug 26, 2024 - Dec 14, 2024",Lecture,Stephen S  Welsch (P)
Introduction to Mathematical Thinking,80258,MATH 11500,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Suzan K  Sollie (P)
Win Lose or Draw,80260,MATH 11600,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Seminar Schedule Type,Traditional Instructional Method,Class/Lecture,9:00 am - 9:50 am,MWF,Academic Science Center AS 018S,"Aug 26, 2024 - Dec 14, 2024",Seminar,Stephen S  Welsch (P)
Win Lose or Draw,80263,MATH 11600,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Seminar Schedule Type,Traditional Instructional Method,Class/Lecture,10:00 am - 10:50 am,MWF,Academic Science Center AS 018S,"Aug 26, 2024 - Dec 14, 2024",Seminar,Stephen S  Welsch (P)
College Algebra,80267,MATH 11900,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,12:30 pm - 1:45 pm,TR,Academic Science Center AS 150A,"Aug 26, 2024 - Dec 14, 2024",Lecture,Edward E  Meyer (P)
College Algebra,80268,MATH 11900,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,10:00 am - 10:50 am,MWF,St Charles Borromeo SB 142,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
College Algebra,82160,MATH 11900,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 11:50 am,MWF,St Charles Borromeo SB 142,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Modeling our World with Mathematics,82161,MATH 12300,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,10:00 am - 10:50 am,MWF,St Charles Borromeo SB 171,"Aug 26, 2024 - Dec 14, 2024",Lecture,Brittany   Stephenson Hollensed (P)
Algebra and Number Concepts for Educators,80271,MATH 13100,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,4:00 pm - 4:50 pm,MWF,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Diane   Nead (P)
Finite Mathematics,80277,MATH 17000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,2:00 pm - 2:50 pm,MWF,Academic Science Center AS 019S,"Aug 26, 2024 - Dec 14, 2024",Lecture,Amila Nishantha  Sudu Ambegedara (P)
Finite Mathematics,80287,MATH 17000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,2:00 pm - 3:15 pm,TR,Academic Science Center AS 019S,"Aug 26, 2024 - Dec 14, 2024",Lecture,Amila Nishantha  Sudu Ambegedara (P)
Finite Mathematics,80291,MATH 17000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Kayla N  Stephenson (P)
Finite Mathematics,81631,MATH 17000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Oct 19, 2024",Lecture,Kayla N  Stephenson (P)
Precalculus,80298,MATH 19900,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Romeoville Campus,Seminar Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 11:50 am,MTWF,St Charles Borromeo SB 152,"Aug 26, 2024 - Dec 14, 2024",Seminar,Amila Nishantha  Sudu Ambegedara (P)
Precalculus,80300,MATH 19900,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Romeoville Campus,Seminar Schedule Type,Traditional Instructional Method,Class/Lecture,9:00 am - 9:50 am,MTWF,Academic Science Center AS 118S,"Aug 26, 2024 - Dec 14, 2024",Seminar,Amila Nishantha  Sudu Ambegedara (P)
Precalculus,80305,MATH 19900,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Other Off Campus Location Campus,Seminar Schedule Type,Traditional Instructional Method,Class/Lecture,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Seminar,TBA
Calculus for the Life Sciences,80306,MATH 20400,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,10:00 am - 10:50 am,MTWF,Academic Science Center AS 118S,"Aug 26, 2024 - Dec 14, 2024",Lecture,Thomas S  Dupre (P)
Calculus 1,80321,MATH 20900,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 11:50 am,MTWF,Academic Science Center AS 156A,"Aug 26, 2024 - Dec 14, 2024",Lecture,Adam L  Schultze (P)
Calculus 1,82163,MATH 20900,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,10:00 am - 10:50 am,MTWF,Academic Science Center AS 156A,"Aug 26, 2024 - Dec 14, 2024",Lecture,Adam L  Schultze (P)
Calculus 1,82164,MATH 20900,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Calculus 1,82365,MATH 20900,Fall-2024,"Apr 08, 2024 to Oct 21, 2024",Undergraduate,4,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Oct 21, 2024 - Dec 14, 2024",Lecture,Michael D  Smith (P)
Discrete Mathematics,80323,MATH 21000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,10:00 am - 10:50 am,MTWF,Academic Science Center AS 155A,"Aug 26, 2024 - Dec 14, 2024",Lecture,Marie   Meyer (P)
Discrete Mathematics,82165,MATH 21000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,1:00 pm - 1:50 pm,MTWF,Academic Science Center AS 155A,"Aug 26, 2024 - Dec 14, 2024",Lecture,Michael D  Smith (P)
Discrete Mathematics,80326,MATH 21000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Marie   Meyer (P)
Discrete Mathematics,80328,MATH 21000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,6:00 pm - 9:00 pm,T,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,Diane   Nead (P)
Discrete Mathematics,81633,MATH 21000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,TBA,,Online Meeting,"Aug 26, 2024 - Oct 19, 2024",Lecture,Diane   Nead (P)
Probability and Statistics Concepts for Educators,80329,MATH 21500,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 11:50 am,MWF,Academic Science Center AS 108S,"Aug 26, 2024 - Dec 14, 2024",Lecture,Thomas S  Dupre (P)
Applied Probability and Statistics,80335,MATH 22000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,9:00 am - 9:50 am,MWF,Academic Science Center AS 030S,"Aug 26, 2024 - Dec 14, 2024",Lecture,Michael D  Smith (P)
Applied Probability and Statistics,80336,MATH 22000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Online Campus,Lecture Schedule Type,Online Instructional Method,Online,6:00 pm - 8:00 pm,M,Online Meeting,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Calculus 2,80337,MATH 23500,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,11:00 am - 11:50 am,MTWF,Academic Science Center AS 155A,"Aug 26, 2024 - Dec 14, 2024",Lecture,Amanda M  Harsy Ramsay (P)
Calculus 3,80341,MATH 25000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,1:00 pm - 1:50 pm,MTWF,Academic Science Center AS 118S,"Aug 26, 2024 - Dec 14, 2024",Lecture,Amanda M  Harsy Ramsay (P)
Calculus 3,80343,MATH 25000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,4,Other Off Campus Location Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,TBA,,Off Campus Location,"Aug 26, 2024 - Dec 14, 2024",Lecture,TBA
Differential Equations,80344,MATH 30000,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,8:00 am - 8:50 am,MWF,Academic Science Center AS 130S,"Aug 26, 2024 - Dec 14, 2024",Lecture,Cara   Sulyok (P)
Linear Algebra,80345,MATH 30500,Fall-2024,"Apr 08, 2024 to Aug 26, 2024",Undergraduate,3,Romeoville Campus,Lecture Schedule Type,Traditional Instructional Method,Class/Lecture,10:00 am - 10:50 am,MWF,Academic Science Center AS 030S,"Aug 26, 2024 - Dec 14, 2024",Lecture,Michael D  Smith (P)
